"Date Printed: Monday, March 9, 2026 3:25:36 PM"
Title: "Households living below the federal poverty level | Uninsured | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming""
Footnote(s): The Census Bureau urges data users to exercise caution when using the 1-year 2020 experimental ACS data estimates and to determine whether the data are suitable for their particular use. Planning region data for Connecticut are temporarily not available due to the transition from counties to planning regions.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Numerator,Percent
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Missouri","29","121,780","8.0"
"Uninsured","2021","Missouri","29","570,898","9.4"
"Households living below the federal poverty level","2021","Missouri","29","130,682","8.4"
"Uninsured","2022","Missouri","29","520,745","8.6"
"Households living below the federal poverty level","2022","Missouri","29","136,566","8.7"
"Uninsured","2017","Montana","30","87,709","8.5"
"Households living below the federal poverty level","2017","Montana","30","20,230","7.7"
"Uninsured","2018","Montana","30","86,029","8.2"
"Households living below the federal poverty level","2018","Montana","30","20,455","7.7"
"Uninsured","2019","Montana","30","87,141","8.3"
"Households living below the federal poverty level","2019","Montana","30","21,252","7.9"
"Uninsured","2020 (COVID-19 Pandemic)","Montana","30","92,625","8.7"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Montana","30","19,762","7.4"
"Uninsured","2021","Montana","30","89,432","8.2"
"Households living below the federal poverty level","2021","Montana","30","19,844","7.2"
"Uninsured","2022","Montana","30","91,272","8.3"
"Households living below the federal poverty level","2022","Montana","30","20,601","7.3"
"Uninsured","2017","Nebraska","31","156,784","8.3"
"Households living below the federal poverty level","2017","Nebraska","31","34,919","7.2"
"Uninsured","2018","Nebraska","31","157,612","8.3"
"Households living below the federal poverty level","2018","Nebraska","31","34,480","7.1"
"Uninsured","2019","Nebraska","31","157,923","8.3"
"Households living below the federal poverty level","2019","Nebraska","31","30,567","6.2"
