"Date Printed: Monday, March 9, 2026 3:22:13 PM"
Title: "AIDS classifications | AIDS deaths | AIDS prevalence | Estimated HIV incidence | Estimated HIV prevalence (undiagnosed and diagnosed) | HIV deaths | HIV diagnoses | HIV prevalence | HIV viral suppression | Knowledge of Status | Linkage to HIV medical care | PrEP coverage and number of persons prescribed | Receipt of HIV medical care | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2024 and 2025 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Small numbers and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category are adjusted for missing information. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2023 are preliminary and based on death data received by CDC as of December 2024. Deaths in 2020 and beyond should be interpreted with caution considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   Prevalence data for the year 2023 based on preliminary death data received by CDC as of December 2024 and should be interpreted with caution. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   Linkage to HIV medical care is based on cases diagnosed during the year queried.
   Receipt of care is based on persons living with diagnosed HIV at the end of the year queried.
   Viral suppression is based on persons living with diagnosed HIV at the end of the year queried.
   Estimates with an RSE>50% are statistically unreliable and reported as data not available.
   * Estimates with an RSE of 30%–50% should be used with caution because they meet a lower standard of reliability.PrEP coverage͵ reported as a percentage͵ is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP. To allow for comparison with other HIV indicators͵ data are presented for ≥13‒ and 13‒24-year-olds͵ but represent ≥16‒ and 16‒24-years-olds͵ respectively. CDC has paused PrEP coverage reporting to determine the best methodology for calculating PrEP coverage͵ and to update PrEP coverage estimates using updated methods and sources. Until updated PrEP coverage estimates are published͵ CDC advises against citing specific PrEP coverage data points͵ as historical estimates will be updated.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"Receipt of HIV medical care","2017","Illinois","17","24,289","NA","72.2"
"PrEP coverage and number of persons prescribed","2017","Illinois","17","10,145","NA","18.6"
"Linkage to HIV medical care","2017","Illinois","17","1,115","NA","81.8"
"Knowledge of Status","2017","Illinois","17","34,292","NA","85.5 (82.8 - 88.3, 1.7)"
"HIV viral suppression","2017","Illinois","17","18,249","NA","54.2"
"HIV prevalence","2017","Illinois","17","34,596","322.6","NA"
"HIV diagnoses","2017","Illinois","17","1,398","13.0","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Illinois","17","40,100 (38,800 - 41,400, 1.7)","374.2 (362.0 - 386.4)","NA"
"Estimated HIV incidence","2017","Illinois","17","1,200 (990 - 1,500, 10.5)","11.6 (9.2 - 14.0)","NA"
"AIDS prevalence","2017","Illinois","17","17,376","162.0","NA"
"AIDS classifications","2017","Illinois","17","635","5.9","NA"
"AIDS deaths","2017","Illinois","17","384","3.6","NA"
"HIV deaths","2017","Illinois","17","511","4.8","NA"
"Receipt of HIV medical care","2017","Indiana","18","8,176","NA","77.2"
"PrEP coverage and number of persons prescribed","2017","Indiana","18","1,555","NA","7.2"
"Knowledge of Status","2017","Indiana","18","10,854","NA","82.5 (78.3 - 87.2, 2.7)"
"HIV viral suppression","2017","Indiana","18","6,562","NA","61.9"
"HIV prevalence","2017","Indiana","18","10,955","197.7","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Indiana","18","13,200 (12,500 - 13,900, 2.7)","237.5 (224.7 - 250.2)","NA"
"Estimated HIV incidence","2017","Indiana","18","520 (370 - 680, 15.3)","9.4 (6.6 - 12.3)","NA"
"AIDS prevalence","2017","Indiana","18","5,450","98.4","NA"
"AIDS classifications","2017","Indiana","18","249","4.5","NA"
"AIDS deaths","2017","Indiana","18","164","3.0","NA"
"HIV deaths","2017","Indiana","18","211","3.8","NA"
"HIV diagnoses","2017","Indiana","18","513","9.3","NA"
"Linkage to HIV medical care","2017","Indiana","18","349","NA","67.5"
"Receipt of HIV medical care","2017","Iowa","19","2,214","NA","87.0"
"Knowledge of Status","2017","Iowa","19","2,630","NA","84.0 (76.3 - 93.4, 5.2)"
"HIV viral suppression","2017","Iowa","19","2,025","NA","79.6"
"HIV prevalence","2017","Iowa","19","2,647","101.1","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Iowa","19","3,100 (2,800 - 3,400, 5.1)","119.6 (107.6 - 131.7)","NA"
"Estimated HIV incidence","2017","Iowa","19","100 (30 - 170, 36.9*)","3.7 (1.0 - 6.3)","NA"
"AIDS prevalence","2017","Iowa","19","1,479","56.5","NA"
"AIDS classifications","2017","Iowa","19","62","2.4","NA"
"AIDS deaths","2017","Iowa","19","31","1.2","NA"
"HIV deaths","2017","Iowa","19","44","1.7","NA"
"HIV diagnoses","2017","Iowa","19","124","4.7","NA"
"Linkage to HIV medical care","2017","Iowa","19","115","NA","91.3"
"PrEP coverage and number of persons prescribed","2017","Iowa","19","761","NA","17.8"
"HIV prevalence","2017","Kansas","20","2,991","124.7","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Kansas","20","3,700 (3,300 - 4,000, 5.3)","152.9 (136.9 - 168.9)","NA"
"Estimated HIV incidence","2017","Kansas","20","100 (20 - 180, 40.6*)","4.3 (0.9 - 7.7)","NA"
"AIDS prevalence","2017","Kansas","20","1,543","64.3","NA"
"Receipt of HIV medical care","2018","Nevada","32","7,218","NA","74.2"
"PrEP coverage and number of persons prescribed","2018","Nevada","32","1,492","NA","13.1"
"Knowledge of Status","2018","Nevada","32","9,957","NA","81.5 (77.3 - 86.1, 2.8)"
"HIV viral suppression","2018","Nevada","32","6,115","NA","62.9"
"Linkage to HIV medical care","2018","Nevada","32","441","NA","87.7"
"Knowledge of Status","2018","New Hampshire","33","1,221","NA","88.8 (76.1 - 100.0, 6.9)"
"HIV prevalence","2018","New Hampshire","33","1,240","105.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","New Hampshire","33","1,400 (1,200 - 1,600, 8.5)","116.9 (103.7 - 136.3)","NA"
"AIDS classifications","2018","New Hampshire","33","19","1.6","NA"
"AIDS deaths","2018","New Hampshire","33","15","1.3","NA"
"AIDS prevalence","2018","New Hampshire","33","609","51.7","NA"
"Estimated HIV incidence","2018","New Hampshire","33","Data not available","Data not available","NA"
"HIV deaths","2018","New Hampshire","33","18","1.5","NA"
"HIV diagnoses","2018","New Hampshire","33","38","3.2","NA"
"HIV viral suppression","2018","New Hampshire","33","902","NA","74.0"
"Linkage to HIV medical care","2018","New Hampshire","33","37","NA","97.4"
"PrEP coverage and number of persons prescribed","2018","New Hampshire","33","500","NA","16.6"
"Receipt of HIV medical care","2018","New Hampshire","33","986","NA","80.9"
"PrEP coverage and number of persons prescribed","2018","New Jersey","34","4,628","NA","18.3"
"Knowledge of Status","2018","New Jersey","34","33,616","NA","87.5 (84.3 - 91.1, 2.0)"
"HIV prevalence","2018","New Jersey","34","33,907","451.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","New Jersey","34","38,400 (36,900 - 39,900, 2.0)","511.8 (491.9 - 531.7)","NA"
"Estimated HIV incidence","2018","New Jersey","34","900 (620 - 1,200, 16.2)","12.0 (8.2 - 15.9)","NA"
"AIDS prevalence","2018","New Jersey","34","17,509","233.3","NA"
"AIDS classifications","2018","New Jersey","34","514","6.8","NA"
"AIDS deaths","2018","New Jersey","34","467","6.2","NA"
"HIV deaths","2018","New Jersey","34","631","8.4","NA"
"HIV diagnoses","2018","New Jersey","34","991","13.2","NA"
"HIV viral suppression","2018","New Jersey","34","Data not available","NA","Data not available"
"Linkage to HIV medical care","2018","New Jersey","34","Data not available","NA","Data not available"
"Receipt of HIV medical care","2018","New Jersey","34","Data not available","NA","Data not available"
"Receipt of HIV medical care","2018","New Mexico","35","2,771","NA","80.0"
"Knowledge of Status","2018","New Mexico","35","3,568","NA","86.2 (79.1 - 94.6, 4.6)"
"HIV viral suppression","2018","New Mexico","35","2,467","NA","71.3"
"HIV prevalence","2018","New Mexico","35","3,590","205.1","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","New Mexico","35","4,100 (3,800 - 4,500, 4.6)","236.6 (215.4 - 257.8)","NA"
"Estimated HIV incidence","2018","New Mexico","35","190 (90 - 280, 25.5)","10.6 (5.3 - 15.9)","NA"
"AIDS prevalence","2018","New Mexico","35","1,920","109.7","NA"
"AIDS classifications","2018","New Mexico","35","65","3.7","NA"
"AIDS deaths","2018","New Mexico","35","53","3.0","NA"
"HIV deaths","2018","New Mexico","35","75","4.3","NA"
"HIV diagnoses","2018","New Mexico","35","150","8.6","NA"
"Linkage to HIV medical care","2018","New Mexico","35","102","NA","83.6"
"PrEP coverage and number of persons prescribed","2018","New Mexico","35","814","NA","12.0"
"Receipt of HIV medical care","2018","New York","36","91,901","NA","73.8"
"PrEP coverage and number of persons prescribed","2018","New York","36","30,334","NA","41.8"
"Linkage to HIV medical care","2018","New York","36","2,121","NA","86.4"
"Knowledge of Status","2018","New York","36","122,753","NA","92.3 (90.6 - 94.0, 0.9)"
"HIV viral suppression","2018","New York","36","80,729","NA","64.8"
"HIV prevalence","2018","New York","36","124,739","750.9","NA"
"HIV diagnoses","2018","New York","36","2,466","14.8","NA"
"HIV deaths","2018","New York","36","1,726","10.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","New York","36","133,100 (130,600 - 135,500, 0.9)","801.0 (786.3 - 815.7)","NA"
"Estimated HIV incidence","2018","New York","36","2,000 (1,600 - 2,400, 9.3)","12.0 (9.8 - 14.2)","NA"
"AIDS prevalence","2018","New York","36","71,488","430.3","NA"
"AIDS deaths","2018","New York","36","1,405","8.5","NA"
"AIDS classifications","2018","New York","36","1,370","8.2","NA"
"Receipt of HIV medical care","2018","North Carolina","37","23,868","NA","77.8"
"PrEP coverage and number of persons prescribed","2018","North Carolina","37","4,028","NA","12.4"
"Knowledge of Status","2018","North Carolina","37","31,219","NA","84.9 (82.2 - 87.6, 1.6)"
"HIV viral suppression","2018","North Carolina","37","20,516","NA","66.9"
"HIV prevalence","2018","North Carolina","37","31,437","359.3","NA"
"HIV diagnoses","2018","North Carolina","37","1,179","13.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","North Carolina","37","36,800 (35,600 - 38,000, 1.6)","420.5 (407.1 - 433.8)","NA"
"Estimated HIV incidence","2018","North Carolina","37","1,300 (1,000 - 1,600, 10.4)","14.9 (11.8 - 17.9)","NA"
"AIDS prevalence","2018","North Carolina","37","14,107","161.2","NA"
"AIDS classifications","2018","North Carolina","37","512","5.9","NA"
"AIDS deaths","2018","North Carolina","37","360","4.1","NA"
"HIV deaths","2018","North Carolina","37","527","6.0","NA"
"Linkage to HIV medical care","2018","North Carolina","37","932","NA","78.5"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","North Dakota","38","670 (500 - 840, 12.8)","107.4 (80.4 - 134.3)","NA"
"AIDS classifications","2018","North Dakota","38","10","1.6","NA"
"AIDS deaths","2018","North Dakota","38","6","1.0","NA"
"AIDS prevalence","2018","North Dakota","38","200","31.9","NA"
"Estimated HIV incidence","2018","North Dakota","38","Data not available","Data not available","NA"
"HIV deaths","2018","North Dakota","38","8","1.3","NA"
"HIV diagnoses","2018","North Dakota","38","36","5.8","NA"
"HIV prevalence","2018","North Dakota","38","447","71.4","NA"
"HIV viral suppression","2018","North Dakota","38","326","NA","78.2"
"Knowledge of Status","2018","North Dakota","38","440","NA","65.5 (52.3 - 87.4, 13.7)"
"Linkage to HIV medical care","2018","North Dakota","38","30","NA","83.3"
"PrEP coverage and number of persons prescribed","2018","North Dakota","38","159","NA","10.5"
"Receipt of HIV medical care","2018","North Dakota","38","353","NA","84.7"
"Receipt of HIV medical care","2018","Ohio","39","15,460","NA","72.0"
"PrEP coverage and number of persons prescribed","2018","Ohio","39","4,752","NA","11.8"
"Knowledge of Status","2018","Ohio","39","21,992","NA","83.3 (80.2 - 86.7, 2.0)"
"HIV viral suppression","2018","Ohio","39","12,625","NA","58.8"
"HIV prevalence","2018","Ohio","39","22,166","225.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Ohio","39","26,400 (25,400 - 27,400, 2.0)","268.4 (258.0 - 278.9)","NA"
"Estimated HIV incidence","2018","Ohio","39","910 (660 - 1,100, 13.7)","9.2 (6.7 - 11.7)","NA"
"AIDS prevalence","2018","Ohio","39","10,483","106.6","NA"
"AIDS classifications","2018","Ohio","39","474","4.8","NA"
"AIDS deaths","2018","Ohio","39","290","2.9","NA"
"HIV deaths","2018","Ohio","39","375","3.8","NA"
"HIV diagnoses","2018","Ohio","39","972","9.9","NA"
"Linkage to HIV medical care","2018","Ohio","39","785","NA","80.3"
"Receipt of HIV medical care","2018","Oklahoma","40","4,192","NA","70.2"
"Knowledge of Status","2018","Oklahoma","40","6,069","NA","79.8 (74.3 - 86.1, 3.8)"
"HIV viral suppression","2018","Oklahoma","40","3,528","NA","59.1"
"HIV prevalence","2018","Oklahoma","40","6,108","187.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Oklahoma","40","7,600 (7,000 - 8,200, 3.7)","233.8 (216.6 - 251.0)","NA"
"Estimated HIV incidence","2018","Oklahoma","40","340 (200 - 480, 21.1)","10.4 (6.1 - 14.7)","NA"
"AIDS prevalence","2018","Oklahoma","40","2,944","90.5","NA"
"AIDS classifications","2018","Oklahoma","40","134","4.1","NA"
"AIDS deaths","2018","Oklahoma","40","86","2.6","NA"
"HIV deaths","2018","Oklahoma","40","116","3.6","NA"
"HIV diagnoses","2018","Oklahoma","40","277","8.5","NA"
"Linkage to HIV medical care","2018","Oklahoma","40","196","NA","70.0"
"PrEP coverage and number of persons prescribed","2018","Oklahoma","40","818","NA","7.4"
"Receipt of HIV medical care","2018","Oregon","41","6,058","NA","88.7"
"PrEP coverage and number of persons prescribed","2018","Oregon","41","2,763","NA","14.0"
"Knowledge of Status","2018","Oregon","41","6,981","NA","88.2 (82.6 - 94.5, 3.5)"
"HIV viral suppression","2018","Oregon","41","5,397","NA","79.1"
"HIV prevalence","2018","Oregon","41","7,012","197.0","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Oregon","41","7,900 (7,400 - 8,500, 3.4)","222.4 (207.4 - 237.4)","NA"
"Estimated HIV incidence","2018","Oregon","41","210 (80 - 330, 30.4*)","5.8 (2.3 - 9.2)","NA"
"AIDS prevalence","2018","Oregon","41","3,888","109.2","NA"
"AIDS classifications","2018","Oregon","41","100","2.8","NA"
"AIDS deaths","2018","Oregon","41","88","2.5","NA"
"HIV deaths","2018","Oregon","41","105","2.9","NA"
"HIV diagnoses","2018","Oregon","41","227","6.4","NA"
"Linkage to HIV medical care","2018","Oregon","41","188","NA","82.1"
"PrEP coverage and number of persons prescribed","2018","Pennsylvania","42","8,551","NA","23.4"
"Knowledge of Status","2018","Pennsylvania","42","35,097","NA","89.3 (86.4 - 92.3, 1.7)"
"HIV prevalence","2018","Pennsylvania","42","35,634","326.2","NA"
"HIV diagnoses","2018","Pennsylvania","42","1,025","9.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Pennsylvania","42","39,300 (38,000 - 40,600, 1.7)","359.9 (348.1 - 371.7)","NA"
"Estimated HIV incidence","2018","Pennsylvania","42","1,100 (800 - 1,300, 12.5)","9.7 (7.3 - 12.1)","NA"
"AIDS prevalence","2018","Pennsylvania","42","19,300","176.7","NA"
"AIDS classifications","2018","Pennsylvania","42","462","4.2","NA"
"AIDS deaths","2018","Pennsylvania","42","420","3.8","NA"
"HIV deaths","2018","Pennsylvania","42","571","5.2","NA"
"HIV viral suppression","2018","Pennsylvania","42","Data not available","NA","Data not available"
"Linkage to HIV medical care","2018","Pennsylvania","42","Data not available","NA","Data not available"
"Receipt of HIV medical care","2018","Pennsylvania","42","Data not available","NA","Data not available"
"Receipt of HIV medical care","2018","Rhode Island","44","2,142","NA","85.0"
"Knowledge of Status","2018","Rhode Island","44","2,550","NA","90.5 (81.2 - 100.0, 5.3)"
"HIV viral suppression","2018","Rhode Island","44","1,988","NA","78.9"
"HIV prevalence","2018","Rhode Island","44","2,590","283.3","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Rhode Island","44","2,800 (2,600 - 3,100, 5.8)","308.3 (278.9 - 343.3)","NA"
"Estimated HIV incidence","2018","Rhode Island","44","60 (10 - 120, 41.6*)","7.0 (1.3 - 12.7)","NA"
"AIDS prevalence","2018","Rhode Island","44","1,421","155.4","NA"
"AIDS classifications","2018","Rhode Island","44","32","3.5","NA"
"AIDS deaths","2018","Rhode Island","44","32","3.5","NA"
"HIV deaths","2018","Rhode Island","44","41","4.5","NA"
"HIV diagnoses","2018","Rhode Island","44","75","8.2","NA"
"Linkage to HIV medical care","2018","Rhode Island","44","68","NA","90.7"
"PrEP coverage and number of persons prescribed","2018","Rhode Island","44","874","NA","22.5"
"Receipt of HIV medical care","2018","South Carolina","45","13,231","NA","79.2"
"PrEP coverage and number of persons prescribed","2018","South Carolina","45","1,241","NA","11.9"
"Knowledge of Status","2018","South Carolina","45","16,614","NA","82.6 (79.0 - 86.6, 2.3)"
"HIV viral suppression","2018","South Carolina","45","11,401","NA","68.2"
"HIV prevalence","2018","South Carolina","45","16,738","389.6","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","South Carolina","45","20,100 (19,200 - 21,000, 2.3)","468.0 (446.5 - 489.4)","NA"
"Estimated HIV incidence","2018","South Carolina","45","700 (480 - 910, 16.0)","16.2 (11.1 - 21.3)","NA"
"AIDS prevalence","2018","South Carolina","45","8,922","207.7","NA"
"AIDS classifications","2018","South Carolina","45","371","8.6","NA"
"AIDS deaths","2018","South Carolina","45","243","5.7","NA"
"HIV deaths","2018","South Carolina","45","317","7.4","NA"
"HIV diagnoses","2018","South Carolina","45","725","16.9","NA"
"Linkage to HIV medical care","2018","South Carolina","45","617","NA","86.3"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","South Dakota","46","730 (600 - 910, 11.8)","102.0 (82.9 - 125.7)","NA"
"AIDS classifications","2018","South Dakota","46","11","1.5","NA"
"AIDS deaths","2018","South Dakota","46","12","1.7","NA"
"AIDS prevalence","2018","South Dakota","46","277","38.5","NA"
"Estimated HIV incidence","2018","South Dakota","46","Data not available","Data not available","NA"
"HIV deaths","2018","South Dakota","46","14","1.9","NA"
"HIV diagnoses","2018","South Dakota","46","28","3.9","NA"
"HIV prevalence","2018","South Dakota","46","603","83.7","NA"
"HIV viral suppression","2018","South Dakota","46","338","NA","58.2"
"Knowledge of Status","2018","South Dakota","46","597","NA","81.3 (66.0 - 100.0, 10.7)"
"Linkage to HIV medical care","2018","South Dakota","46","26","NA","89.7"
"PrEP coverage and number of persons prescribed","2018","South Dakota","46","101","NA","11.1"
"Receipt of HIV medical care","2018","South Dakota","46","483","NA","83.1"
"Receipt of HIV medical care","2018","Tennessee","47","13,354","NA","80.4"
"PrEP coverage and number of persons prescribed","2018","Tennessee","47","2,611","NA","11.6"
"Knowledge of Status","2018","Tennessee","47","17,157","NA","83.7 (80.2 - 87.6, 2.3)"
"HIV viral suppression","2018","Tennessee","47","10,580","NA","63.7"
"HIV prevalence","2018","Tennessee","47","17,312","303.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Tennessee","47","20,500 (19,600 - 21,400, 2.2)","359.8 (343.9 - 375.7)","NA"
"Estimated HIV incidence","2018","Tennessee","47","780 (570 - 990, 13.6)","13.7 (10.0 - 17.3)","NA"
"AIDS prevalence","2018","Tennessee","47","8,478","148.8","NA"
"AIDS classifications","2018","Tennessee","47","375","6.6","NA"
"AIDS deaths","2018","Tennessee","47","275","4.8","NA"
"HIV deaths","2018","Tennessee","47","359","6.3","NA"
"HIV diagnoses","2018","Tennessee","47","740","13.0","NA"
"Linkage to HIV medical care","2018","Tennessee","47","559","NA","73.4"
"Receipt of HIV medical care","2018","Texas","48","66,453","NA","76.1"
"PrEP coverage and number of persons prescribed","2018","Texas","48","17,783","NA","14.4"
"Linkage to HIV medical care","2018","Texas","48","3,307","NA","75.4"
"Knowledge of Status","2018","Texas","48","90,765","NA","81.6 (80.0 - 83.1, 1.0)"
"HIV viral suppression","2018","Texas","48","54,218","NA","62.1"
"HIV prevalence","2018","Texas","48","91,400","392.2","NA"
"HIV diagnoses","2018","Texas","48","4,430","19.0","NA"
"HIV deaths","2018","Texas","48","1,376","5.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Texas","48","111,300 (109,200 - 113,400, 1.0)","477.4 (468.4 - 486.5)","NA"
"Estimated HIV incidence","2018","Texas","48","4,500 (4,000 - 5,100, 6.0)","19.4 (17.1 - 21.7)","NA"
"AIDS prevalence","2018","Texas","48","45,568","195.5","NA"
"AIDS deaths","2018","Texas","48","1,107","4.7","NA"
"AIDS classifications","2018","Texas","48","1,895","8.1","NA"
"Receipt of HIV medical care","2018","Utah","49","2,133","NA","75.9"
"PrEP coverage and number of persons prescribed","2018","Utah","49","1,492","NA","21.8"
"Knowledge of Status","2018","Utah","49","2,909","NA","81.4 (73.9 - 90.6, 5.2)"
"HIV viral suppression","2018","Utah","49","1,910","NA","67.9"
"HIV prevalence","2018","Utah","49","2,930","118.0","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Utah","49","3,600 (3,200 - 3,900, 5.2)","143.9 (129.3 - 158.5)","NA"
"Estimated HIV incidence","2018","Utah","49","150 (50 - 240, 32.5*)","6.0 (2.2 - 9.8)","NA"
"AIDS prevalence","2018","Utah","49","1,432","57.6","NA"
"AIDS classifications","2018","Utah","49","43","1.7","NA"
"AIDS deaths","2018","Utah","49","35","1.4","NA"
"HIV deaths","2018","Utah","49","45","1.8","NA"
"HIV diagnoses","2018","Utah","49","120","4.8","NA"
"Linkage to HIV medical care","2018","Utah","49","99","NA","83.2"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Vermont","50","730 (690 - 880, 10.2)","134.7 (126.3 - 161.7)","NA"
"AIDS classifications","2018","Vermont","50","10","1.8","NA"
"AIDS deaths","2018","Vermont","50","8","1.5","NA"
"AIDS prevalence","2018","Vermont","50","370","68.0","NA"
"Estimated HIV incidence","2018","Vermont","50","Data not available","Data not available","NA"
"HIV deaths","2018","Vermont","50","10","1.8","NA"
"HIV diagnoses","2018","Vermont","50","18","3.3","NA"
